Name,DateOfBirth,DateOfDeath,Type
"Metzkes, Elrid",1932,,personal
"Vágó, Pierre",30.08.1910,27.01.2002,personal
"Fischer, Kitty",1908,,personal
"Rathlef-Keilmann, Harriet von",1888,1933,personal
"Konnerth, Lotte",1881,1950,personal
"Köhler, Margarete",1878,1964,personal
"Sklarek, Rolf",1906,1985,personal
"Schabbon, Wilhelm",1890,1962,personal
"Wolff, Toni",1888,1953,personal
"Schmidt, Arthur",1908,2007,personal
"Sitte, Franz",1907,,personal
"Adams, George",1904,1983,personal
"Guermonprez, Paul",1908,1944,personal
"Bernheim, Alfred",1885,1974,personal
"Schürmann, Herbert",1908,1982,personal
"Ebeling, Siegfried",1894,1963,personal
"Muche, El",1901,1980,personal
"Dülberg, Hedwig",1894,1944,personal
"Erps-Breuer, Marta",1902,1977,personal
"Ballmer, Walter",1923,,personal
"Moufang, Eva",1883,1963,personal
"Turner, Evan H.",1927,,personal
"Paulick, Rudolf",1908,,personal
"Stone, Edward Durell",1902,1978,personal
"Sachsenberg, Margarethe",1898,1978,personal
"Lazarus, Ludwig",1900,,personal
"Bernstein, Shlomo",1907,1956,personal
"Frenkel, Chanan",1905,1957,personal
"Weber, Gerhard",1909,1986,personal
"Funke, Hermann",1938,,personal
"Bücking, Peter",1906,1938,personal
"Schindelarz, Annika",1981,,personal
"Benscheidt, Karl",1858,1947,personal
"Fleming, Allan",1929,1977,personal
"Karsh, Malak",1915,2001,personal
"Klingeberg, Werner",1910,1982,personal
"Volger, Hans",1904,1973,personal
"Lohmar, Ulrich",1928,1991,personal
"Wolff, Robert Jay",1905,1978,personal
