Name,DateOfBirth,DateOfDeath,Type
"Gabo, Naum",1890,1977,personal
"Gerstner, Karl",1930,,personal
"Giacometti, Alberto",1901,1966,personal
"Glarner, Fritz",1899,1972,personal
"Glöckner, Hermann",1889,1987,personal
"González, Julio",1876,1942,personal
"Graeser, Camille",1892,1980,personal
"Gresko, Georg",1920,1962,personal
"Gropius, Walter",1883,1969,personal
"Grosz, George",1893,1959,personal
"Grzimek, Waldemar",1918,1984,personal
"Guggenheim, Peggy",1898,1979,personal
"Haas, Leo",1901,1983,personal
"Hablik, Wenzel",1881,1934,personal
"Haesler, Otto",1880,1962,personal
"Haffenrichter, Hans",1897,1981,personal
"Hajek, Otto Herbert",1927,2005,personal
"Hartung, Hans",1904,1989,personal
"Hauer, Josef Matthias",1883,1959,personal
"Hauptmann, Ivo",1886,1973,personal
"Hausmann, Raoul",1886,1971,personal
"Heartfield, John",1891,1968,personal
"Heckel, Erich",1883,1970,personal
"Heemskerck, Jacoba van",1876,1923,personal
"Hegenbarth, Josef",1884,1962,personal
"Heiliger, Bernhard",1915,1995,personal
"Henselmann, Hermann",1905,1995,personal
"Herzger, Walter",1901,1985,personal
"Heuss, Theodor",1884,1963,personal
"Heynicke, Kurt",1891,1985,personal
"Hildebrandt, Wolf",1904,1999,personal
"Hildesheimer, Wolfgang",1916,1991,personal
"Hiller, Anton",1893,1985,personal
"Hirche, Herbert",1910,2002,personal
"Höch, Hannah",1889,1978,personal
"Hölzel, Adolf",1853,1934,personal
"Hoepffner, Marta",1912,2000,personal
"Hoerle, Heinrich",1895,1936,personal
"Hoetger, Bernhard",1874,1949,personal
"Hofer, Karl",1878,1955,personal
"Hoffmann, Josef",1870,1956,personal
"Hofmann, Hans",1880,1966,personal
"Holtorf, Hans",1899,1984,personal
"Holzmeister, Clemens",1886,1983,personal
"Horváth, Ödön von",1901,1938,personal
"Hrdlicka, Alfred",1928,2009,personal
"Hubbuch, Karl",1891,1979,personal
"Huelsenbeck, Richard",1892,1974,personal
"Hundertwasser, Friedensreich",1928,2000,personal
"Huxley, Julian",1887,1975,personal
"Jaenisch, Hans",1907,1989,personal
"Jahns, Rudolf",1896,1983,personal
"Jawlensky, Alexej von",1864,1941,personal
"Jeanneret, Pierre",1896,1965,personal
"Johnson, Lyndon B.",1908,1973,personal
"Jung, Franz",1888,1963,personal
"Kahn, Louis I.",1901,1974,personal
"Kandinsky, Nina",1896,1980,personal
"Kandinsky, Wassily",1866,1944,personal
"Kassák, Lajos",1887,1967,personal
